name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
eminence Indiana,2012-07-21,88.7,59.5,75.4,86.4,59.5,74.9,57.6,58.97,0,,0,,,,,8,89.9,1017.7,21.7,9.4,,,,,2012-07-21T06:36:54,2012-07-21T21:08:37,0.03,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KBMG,KEYE,72437503893,KIND,72438093819,72438453842"
eminence Indiana,2012-07-22,93.5,66.3,80.3,93.4,66.3,80.3,61.2,56.11,0,,0,,,,16.1,9.9,142,1018.5,27.7,9.9,,,,,2012-07-22T06:37:44,2012-07-22T21:07:51,0.06,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KBMG,KEYE,72437503893,KIND,72438093819,72438453842"
eminence Indiana,2012-07-23,99.2,73.3,85.6,103.1,73.3,87.7,65,52.37,0,,0,,,,26.1,15.6,240.1,1016.4,30.8,9.9,,,,,2012-07-23T06:38:35,2012-07-23T21:07:03,0.1,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KBMG,KEYE,72437503893,KIND,72438093819,72438453842"
eminence Indiana,2012-07-24,95.2,80.6,86.3,97.1,84.2,89.6,68,55.78,0,,0,,,,30,13.8,189.8,1013.1,40.6,9.9,,,,,2012-07-24T06:39:26,2012-07-24T21:06:13,0.14,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KBMG,KEYE,72437503893,KIND,72438093819,72438453842"
eminence Indiana,2012-07-25,100.9,73.5,86.2,106.4,73.5,88.8,68.8,60.12,0,,0,,,,24.1,14.6,167,1010.3,25.3,9.9,,,,,2012-07-25T06:40:17,2012-07-25T21:05:21,0.2,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KBMG,KEYE,72437503893,KIND,72438093819,72438453842"
eminence Indiana,2013-07-21,83.1,65.6,74.6,86.2,65.6,75.2,67.3,79.28,0,,4.17,,,,,5.5,200.6,1013.1,46.1,9.4,,,,,2013-07-21T06:36:43,2013-07-21T21:08:49,0.49,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KBMG,KEYE,72437503893,KIND,72438093819,72438453842"
eminence Indiana,2013-07-22,81.5,69.4,74.5,85,69.4,75,68.8,83.16,0.52,,41.67,,,,25.9,9.4,228.8,1009.7,74.2,8.9,,,,,2013-07-22T06:37:33,2013-07-22T21:08:03,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"KBMG,KEYE,72437503893,KIND,72438093819,72438453842"
eminence Indiana,2013-07-23,86.1,69,76.5,91.6,69,78.2,68.3,77.21,0.3,,12.5,,,,35.7,12.9,251.5,1008.8,40.1,9.5,,,,,2013-07-23T06:38:23,2013-07-23T21:07:15,0.51,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"KBMG,KEYE,72437503893,KIND,72438093819,72438453842"
eminence Indiana,2013-07-24,75,56.8,66.8,75,56.8,66.8,54.2,65.45,0,,0,,,,18.5,12,46.1,1013.9,24.8,9.9,,,,,2013-07-24T06:39:14,2013-07-24T21:06:25,0.53,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KBMG,KEYE,72437503893,KIND,72438093819,72438453842"
eminence Indiana,2013-07-25,77.6,55.6,67.9,77.6,55.6,67.9,53.5,62.16,0,,0,,,,18.3,8.9,110.2,1017.7,10,9.9,,,,,2013-07-25T06:40:05,2013-07-25T21:05:34,0.55,Clear,Clear conditions throughout the day.,clear-day,"KBMG,KEYE,72437503893,KIND,72438093819,72438453842"
